factura_id,documento_id,cliente,tipo_canal,pais,fecha_factura,fecha_vencimiento,plazo_dias,valor_cop,dias_mora,estado,pagada
FV-95235,OC-95235,Éxito,Retail,Colombia,2026-02-14,2026-04-15,60,7423594,0,Pagada,True
FV-95236,OC-95236,Éxito,Retail,Colombia,2026-02-14,2026-04-15,60,7426484,0,Pagada,True
FV-95237,OC-95237,Éxito,Retail,Colombia,2026-02-14,2026-04-15,60,7423016,0,Pagada,True
FV-95238,OC-95238,Carulla,Retail,Colombia,2026-02-14,2026-04-15,60,15092804,0,Pagada,True
FV-95239,OC-95239,Rappi,Marketplace,Colombia,2026-02-16,2026-03-18,30,3289576,0,Pagada,True
FV-95240,OC-95240,Rappi,Marketplace,Colombia,2026-02-12,2026-03-14,30,3284379,0,Pagada,True
FV-95241,OC-95241,Fithub,Especializado,Colombia,2026-02-12,2026-03-29,45,1327585,0,Pagada,True
FV-95242,OC-95242,Fithub,Especializado,Colombia,2026-02-16,2026-04-02,45,1318660,0,Pagada,True
FV-95243,OC-95243,Fithub,Especializado,Colombia,2026-02-16,2026-04-02,45,1338470,0,Pagada,True
FV-95244,OC-95244,Fithub,Especializado,Colombia,2026-02-16,2026-04-02,45,1309420,0,Pagada,True
FV-95245,OC-95245,Tiendas naturistas,Especializado,Colombia,2026-02-16,2026-04-02,45,6654132,0,Pagada,True
FV-95246,OC-95246,Paranice US,Internacional,Estados Unidos,2026-02-12,2026-02-27,15,8516950,0,Pagada,True
FV-95247,OC-95247,Distribuidor CR,Internacional,Costa Rica,2026-02-13,2026-03-30,45,4706905,0,Pagada,True
FV-95248,OC-95248,Éxito,Retail,Colombia,2026-02-16,2026-04-17,60,22153278,0,Pagada,True
FV-95249,OC-95249,Carulla,Retail,Colombia,2026-02-16,2026-04-17,60,13197644,0,Pagada,True
FV-95250,OC-95250,Rappi,Marketplace,Colombia,2026-02-14,2026-03-16,30,6446520,0,Pagada,True
FV-95251,OC-95251,Fithub,Especializado,Colombia,2026-02-13,2026-03-30,45,6246625,0,Pagada,True
FV-95252,OC-95252,Tiendas naturistas,Especializado,Colombia,2026-02-13,2026-03-30,45,7481592,0,Pagada,True
