mes,seccion,publicaciones,visitas,pedidos_asistidos,tiempo_medio_seg
2025-01,Baked Goods,2,4728,78,75
2025-01,Brunch,3,2237,24,159
2025-01,Desserts,2,685,19,64
2025-01,Bebidas y Helados,1,5073,101,169
2025-01,Recipe,4,5088,161,151
2025-01,Snacks,4,4441,146,71
2025-01,The Paranice Lab,2,4227,108,88
2025-02,Baked Goods,4,3670,41,165
2025-02,Brunch,2,3412,113,151
2025-02,Desserts,1,2074,20,159
2025-02,Bebidas y Helados,1,1566,33,54
2025-02,Recipe,4,1614,47,82
2025-02,Snacks,4,1389,33,191
2025-02,The Paranice Lab,2,1026,11,140
2025-03,Baked Goods,3,4172,83,187
2025-03,Brunch,3,1618,34,165
2025-03,Desserts,2,4196,127,101
2025-03,Bebidas y Helados,1,2187,56,151
2025-03,Recipe,3,2888,98,92
2025-03,Snacks,4,3474,117,80
2025-03,The Paranice Lab,2,1964,22,139
2025-04,Baked Goods,4,2521,48,52
2025-04,Brunch,1,3799,48,159
2025-04,Desserts,2,3499,78,170
2025-04,Bebidas y Helados,3,3445,68,64
2025-04,Recipe,2,3554,31,165
2025-04,Snacks,1,2126,47,74
2025-04,The Paranice Lab,3,1698,45,193
2025-05,Baked Goods,3,815,13,72
2025-05,Brunch,3,3996,79,150
2025-05,Desserts,4,4788,49,153
2025-05,Bebidas y Helados,3,2073,58,99
2025-05,Recipe,2,3402,89,136
2025-05,Snacks,3,4497,106,106
2025-05,The Paranice Lab,4,1750,14,91
2025-06,Baked Goods,3,607,15,127
2025-06,Brunch,4,2953,80,64
2025-06,Desserts,4,3281,63,59
2025-06,Bebidas y Helados,4,1036,34,186
2025-06,Recipe,1,754,23,59
2025-06,Snacks,4,4912,122,73
2025-06,The Paranice Lab,2,4005,66,178
2025-07,Baked Goods,3,4906,59,155
2025-07,Brunch,2,5188,75,115
2025-07,Desserts,4,2169,58,46
2025-07,Bebidas y Helados,2,1365,36,106
2025-07,Recipe,4,625,14,183
2025-07,Snacks,1,4930,45,124
2025-07,The Paranice Lab,2,5099,167,91
2025-08,Baked Goods,1,3149,35,188
2025-08,Brunch,2,1934,24,85
2025-08,Desserts,4,719,15,135
2025-08,Bebidas y Helados,1,2588,89,177
2025-08,Recipe,2,1705,19,176
2025-08,Snacks,3,2883,78,166
2025-08,The Paranice Lab,4,3787,82,62
2025-09,Baked Goods,2,2725,74,113
2025-09,Brunch,1,2182,57,75
2025-09,Desserts,1,2477,63,172
2025-09,Bebidas y Helados,3,3509,62,152
2025-09,Recipe,2,3919,41,204
2025-09,Snacks,1,1715,50,166
2025-09,The Paranice Lab,1,3646,71,153
2025-10,Baked Goods,3,887,25,193
2025-10,Brunch,3,3270,66,85
2025-10,Desserts,4,4009,40,74
2025-10,Bebidas y Helados,2,3290,68,189
2025-10,Recipe,3,3045,56,88
2025-10,Snacks,3,3875,131,72
2025-10,The Paranice Lab,1,4282,59,182
2025-11,Baked Goods,4,3128,60,87
2025-11,Brunch,2,1223,22,192
2025-11,Desserts,4,4077,73,162
2025-11,Bebidas y Helados,4,1119,33,54
2025-11,Recipe,2,2333,51,148
2025-11,Snacks,2,1309,23,113
2025-11,The Paranice Lab,4,1127,23,124
2025-12,Baked Goods,2,3787,112,143
