envio_id,pedido_id,fecha_pedido,fecha_entrega_prometida,fecha_entrega_real,dias_transito,pais_destino,ciudad_destino,transportadora,estado,entregado_a_tiempo,costo_envio_cop,valor_pedido_cop
ENV-100000,PED-100000,2025-01-01,2025-01-04,2025-01-04,3,Colombia,Pereira,TCC,Entregado,True,15465,41690
ENV-100001,PED-100001,2025-01-01,2025-01-05,2025-01-05,4,Colombia,Pereira,Servientrega,Entregado,True,14838,125070
ENV-100002,PED-100002,2025-01-01,2025-01-05,2025-01-05,4,Colombia,Pereira,Servientrega,Entregado,True,12201,75900
ENV-100003,PED-100003,2025-01-01,2025-01-03,2025-01-03,2,Colombia,Bogotá,TCC,Entregado,True,10942,83380
ENV-100004,PED-100004,2025-01-01,2025-01-04,2025-01-04,3,Colombia,Cali,TCC,Entregado,True,10854,36052
ENV-100005,PED-100005,2025-01-01,2025-01-04,2025-01-04,3,Colombia,Bogotá,Servientrega,Entregado,True,14801,37950
ENV-100006,PED-100006,2025-01-01,2025-01-03,2025-01-03,2,Colombia,Cali,TCC,Entregado,True,11548,48590
ENV-100007,PED-100007,2025-01-01,2025-01-04,2025-01-04,3,Colombia,Bucaramanga,Servientrega,Entregado,True,15259,125070
ENV-100008,PED-100008,2025-01-01,2025-01-03,2025-01-03,2,Colombia,Cali,TCC,Entregado,True,15390,89900
ENV-100009,PED-100009,2025-01-01,2025-01-04,2025-01-04,3,Colombia,Pereira,TCC,Entregado,True,9818,97180
ENV-100010,PED-100010,2025-01-01,2025-01-05,2025-01-05,4,Colombia,Bucaramanga,TCC,Entregado,True,11162,48590
ENV-100011,PED-100011,2025-01-01,2025-01-05,2025-01-05,4,Colombia,Pereira,Servientrega,Entregado,True,9271,83380
ENV-100012,PED-100012,2025-01-01,2025-01-04,2025-01-04,3,Colombia,Barranquilla,TCC,Entregado,True,15232,118816
ENV-100013,PED-100013,2025-01-01,2025-01-03,2025-01-03,2,Colombia,Bogotá,TCC,Entregado,True,12531,48590
ENV-100014,PED-100014,2025-01-01,2025-01-04,2025-01-04,3,Colombia,Pereira,Coordinadora,Entregado,True,13272,75900
ENV-100015,PED-100015,2025-01-01,2025-01-04,2025-01-04,3,Colombia,Cali,TCC,Entregado,True,10985,145770
ENV-100016,PED-100016,2025-01-01,2025-01-05,2025-01-05,4,Colombia,Bucaramanga,Coordinadora,Entregado,True,13411,87462
ENV-100017,PED-100017,2025-01-01,2025-01-05,2025-01-05,4,Colombia,Medellín,Coordinadora,Entregado,True,14247,89900
ENV-100018,PED-100018,2025-01-01,2025-01-03,2025-01-03,2,Colombia,Cali,Coordinadora,Entregado,True,13045,97180
ENV-100019,PED-100019,2025-01-01,2025-01-05,2025-01-05,4,Colombia,Bucaramanga,Servientrega,Entregado,True,12681,94050
ENV-100020,PED-100020,2025-01-01,2025-01-03,2025-01-03,2,Colombia,Cali,Servientrega,Entregado,True,13290,75900
ENV-100021,PED-100021,2025-01-01,2025-01-05,2025-01-05,4,Colombia,Barranquilla,Coordinadora,Entregado,True,13879,56000
ENV-100022,PED-100022,2025-01-01,2025-01-04,2025-01-04,3,Colombia,Pereira,TCC,Entregado,True,12754,145770
ENV-100023,PED-100023,2025-01-01,2025-01-05,2025-01-05,4,Colombia,Bucaramanga,Coordinadora,Entregado,True,15325,359700
ENV-100024,PED-100024,2025-01-02,2025-01-05,2025-01-05,3,Colombia,Cali,TCC,Entregado,True,10022,145770
ENV-100025,PED-100025,2025-01-02,2025-01-06,2025-01-06,4,Colombia,Medellín,Coordinadora,Entregado,True,14138,46160
ENV-100026,PED-100026,2025-01-02,2025-01-05,2025-01-05,3,Colombia,Bucaramanga,Servientrega,Entregado,True,10392,41690
ENV-100027,PED-100027,2025-01-02,2025-01-05,2025-01-05,3,Colombia,Bogotá,TCC,Entregado,True,11256,97180
ENV-100028,PED-100028,2025-01-02,2025-01-06,2025-01-06,4,Colombia,Barranquilla,Servientrega,Entregado,True,10791,97180
ENV-100029,PED-100029,2025-01-02,2025-01-04,2025-01-04,2,Colombia,Medellín,Coordinadora,Entregado,True,11899,41690
ENV-100030,PED-100030,2025-01-02,2025-01-04,2025-01-04,2,Colombia,Pereira,Servientrega,Entregado,True,13466,102465
ENV-100031,PED-100031,2025-01-02,2025-01-06,2025-01-06,4,Colombia,Cali,Coordinadora,Entregado,True,10649,46160
ENV-100032,PED-100032,2025-01-02,2025-01-04,2025-01-04,2,Colombia,Bucaramanga,TCC,Entregado,True,10914,108158
ENV-100033,PED-100033,2025-01-02,2025-01-06,2025-01-06,4,Colombia,Medellín,Servientrega,Entregado,True,14277,75900
ENV-100034,PED-100034,2025-01-02,2025-01-06,2025-01-06,4,Colombia,Barranquilla,Servientrega,Entregado,True,11628,118816
ENV-100035,PED-100035,2025-01-02,2025-01-04,2025-01-04,2,Colombia,Bogotá,TCC,Entregado,True,10762,113850
ENV-100036,PED-100036,2025-01-02,2025-01-06,2025-01-06,4,Colombia,Pereira,Servientrega,Entregado,True,13167,125070
ENV-100037,PED-100037,2025-01-02,2025-01-06,2025-01-06,4,Colombia,Bogotá,TCC,Entregado,True,10088,113905
ENV-100038,PED-100038,2025-01-02,2025-01-05,2025-01-05,3,Colombia,Bogotá,Coordinadora,Entregado,True,11848,69300
