mes,ingresos_cop,costo_ventas_cop,margen_bruto_cop,margen_bruto_pct,gasto_marketing_cop,gasto_logistica_cop,nomina_cop,otros_gastos_cop,ebitda_cop,ebitda_pct
2025-01,693633248,340932500,352700748,50.8,26751286,41437516,531583076,37229925,-284301055,-41.0
2025-02,652313188,319859250,332453938,51.0,23970086,39016094,520053086,39471931,-290057260,-44.5
2025-03,684483173,336885600,347597573,50.8,24856412,40098132,529620064,37167708,-284144744,-41.5
2025-04,880980175,437648050,443332125,50.3,27188996,46776170,516470459,45957082,-193060582,-21.9
2025-05,1267676049,626456250,641219799,50.6,33736975,65558155,534736518,61548681,-54360531,-4.3
2025-06,1349954365,669893850,680060515,50.4,36771562,66355887,529804817,69349209,-22220960,-1.6
2025-07,1280483373,632732700,647750673,50.6,38686146,63284029,519379117,68385102,-41983721,-3.3
2025-08,1456107359,722132000,733975359,50.4,40051284,71303101,514018967,79234326,29367680,2.0
2025-09,1700692294,843797750,856894544,50.4,47589835,86089869,526053640,81894233,115266965,6.8
2025-10,2019411806,974192050,1045219756,51.8,49304898,94923545,515916620,108512445,276562247,13.7
2025-11,2716865335,1310430350,1406434985,51.8,65504553,122933201,513925230,122552716,581519284,21.4
2025-12,2407511026,1174969700,1232541326,51.2,53023046,100479168,531527021,118103979,429408111,17.8
2026-01,2664205443,1303135650,1361069793,51.1,62407219,108628681,507777692,164161287,518094913,19.4
2026-02,2343186327,1136711350,1206474977,51.5,52279687,95863626,521659473,112541569,424130620,18.1
2026-03,2259150041,1097239950,1161910091,51.4,53399822,92978676,516824256,120697084,378010252,16.7
2026-04,2112326381,1017534600,1094791781,51.8,49010638,86524022,516531124,129198594,313527402,14.8
2026-05,2516712709,1214515450,1302197259,51.7,53163692,100884077,525082985,116456007,506610496,20.1
2026-06,2312570498,1109544950,1203025548,52.0,51945054,94689989,538877221,104744730,412768553,17.8
2026-07,2083122420,1006592050,1076530370,51.7,46290927,85385909,508630993,101224381,334998158,16.1
2026-08,2305464239,1107527350,1197936889,52.0,56271110,96627988,527819419,129118747,388099623,16.8
