bodega_id,bodega,pais,producto_id,producto,categoria,stock_actual,stock_minimo,stock_maximo,costo_unitario,valor_inventario,dias_cobertura,estado
CEDI-BOG,CEDI Bogotá,Colombia,GRA-001,Granola Vainilla Shortbread,GranOLAs,1040,120,1991,14200,14769448,150.0,Alto
CEDI-BOG,CEDI Bogotá,Colombia,GRA-002,Granola Chip Cookie,GranOLAs,787,120,1290,14400,11332515,150.0,Alto
CEDI-BOG,CEDI Bogotá,Colombia,GRA-003,Granola Fudge Cake,GranOLAs,928,100,1563,14600,13555031,150.0,Alto
CEDI-BOG,CEDI Bogotá,Colombia,GRA-004,Granola Pistacho Cookie,GranOLAs,676,80,861,17800,12025922,150.0,Alto
CEDI-BOG,CEDI Bogotá,Colombia,PAN-001,Mix Pancake Vainilla,Pancakes & Waffles,300,90,1487,15900,4764119,99.9,Alto
CEDI-BOG,CEDI Bogotá,Colombia,PAN-002,Mix Pancake Chocolate Chips,Pancakes & Waffles,696,90,1131,16400,11418574,150.0,Alto
CEDI-BOG,CEDI Bogotá,Colombia,PAN-003,Mix Waffle Churro,Pancakes & Waffles,336,70,794,16100,5409880,144.0,Alto
CEDI-BOG,CEDI Bogotá,Colombia,PAN-004,Mix Pancake Banana,Pancakes & Waffles,374,100,1232,12600,4710272,112.1,Alto
CEDI-BOG,CEDI Bogotá,Colombia,PAN-005,Mix Pancake Brownie,Pancakes & Waffles,786,100,1160,12800,10064360,150.0,Alto
CEDI-BOG,CEDI Bogotá,Colombia,AVE-001,Harina de Almendra,Avena & Harinas,1129,150,2684,15200,17157630,150.0,Alto
CEDI-BOG,CEDI Bogotá,Colombia,AVE-002,Harina de Avena,Avena & Harinas,1118,150,2325,11400,12744025,150.0,Alto
CEDI-BOG,CEDI Bogotá,Colombia,AVE-003,Hojuelas de Avena,Avena & Harinas,1467,150,1467,11000,16133895,150.0,Alto
CEDI-BOG,CEDI Bogotá,Colombia,ESP-001,Crema Pistacho Cookie,Esparcibles,713,60,863,26800,19117600,150.0,Alto
CEDI-BOG,CEDI Bogotá,Colombia,ESP-002,Crema Maní Banana,Esparcibles,798,90,1620,19600,15633950,150.0,Alto
CEDI-BOG,CEDI Bogotá,Colombia,ESP-003,Crema Cacao Avellana Clásica,Esparcibles,1176,90,861,19900,23407224,150.0,Alto
CEDI-BOG,CEDI Bogotá,Colombia,ESP-004,Crema Cacao Avellana Blanca,Esparcibles,239,80,1548,20200,4837724,89.8,Normal
CEDI-BOG,CEDI Bogotá,Colombia,ESP-005,Crema Canela Roll,Esparcibles,655,80,1357,19700,12897603,150.0,Alto
CEDI-BOG,CEDI Bogotá,Colombia,ESP-006,Crema Butter Cookie,Esparcibles,476,60,591,24900,11854992,150.0,Alto
CEDI-BOG,CEDI Bogotá,Colombia,COM-001,Combo Desayuno Saludable,Combos,474,50,508,36500,17286824,150.0,Alto
CEDI-BOG,CEDI Bogotá,Colombia,COM-002,Combo Sin Gluten Starter,Combos,523,40,437,48200,25216300,150.0,Alto
CEDI-BOG,CEDI Bogotá,Colombia,COM-003,Combo Esparcibles Trío,Combos,228,40,487,58600,13333343,150.0,Alto
CEDI-BOG,CEDI Bogotá,Colombia,MER-001,Termo Paranice,Merch,208,40,702,21000,4377079,150.0,Alto
CEDI-BOG,CEDI Bogotá,Colombia,MER-002,Tote Bag Paranice,Merch,377,60,734,11500,4334419,150.0,Alto
HUB-SJO,Hub San José,Costa Rica,GRA-001,Granola Vainilla Shortbread,GranOLAs,377,120,607,14200,5352828,94.2,Alto
HUB-SJO,Hub San José,Costa Rica,GRA-002,Granola Chip Cookie,GranOLAs,448,120,618,14400,6452745,112.0,Alto
HUB-SJO,Hub San José,Costa Rica,GRA-003,Granola Fudge Cake,GranOLAs,109,100,373,14600,1595158,32.8,Normal
HUB-SJO,Hub San José,Costa Rica,GRA-004,Granola Pistacho Cookie,GranOLAs,426,80,289,17800,7585630,150.0,Alto
HUB-SJO,Hub San José,Costa Rica,PAN-001,Mix Pancake Vainilla,Pancakes & Waffles,386,90,389,15900,6136040,128.6,Alto
HUB-SJO,Hub San José,Costa Rica,PAN-002,Mix Pancake Chocolate Chips,Pancakes & Waffles,437,90,481,16400,7169518,145.7,Alto
HUB-SJO,Hub San José,Costa Rica,PAN-003,Mix Waffle Churro,Pancakes & Waffles,139,70,434,16100,2239525,59.6,Normal
HUB-SJO,Hub San José,Costa Rica,PAN-004,Mix Pancake Banana,Pancakes & Waffles,138,100,667,12600,1737590,41.4,Normal
HUB-SJO,Hub San José,Costa Rica,PAN-005,Mix Pancake Brownie,Pancakes & Waffles,106,100,777,12800,1357111,31.8,Normal
HUB-SJO,Hub San José,Costa Rica,AVE-001,Harina de Almendra,Avena & Harinas,106,150,694,15200,1615236,21.3,Bajo
HUB-SJO,Hub San José,Costa Rica,AVE-002,Harina de Avena,Avena & Harinas,258,150,830,11400,2937309,51.5,Normal
HUB-SJO,Hub San José,Costa Rica,AVE-003,Hojuelas de Avena,Avena & Harinas,128,150,777,11000,1410925,25.7,Bajo
HUB-SJO,Hub San José,Costa Rica,ESP-001,Crema Pistacho Cookie,Esparcibles,195,60,248,26800,5234082,97.7,Alto
HUB-SJO,Hub San José,Costa Rica,ESP-002,Crema Maní Banana,Esparcibles,253,90,373,19600,4966731,84.5,Normal
HUB-SJO,Hub San José,Costa Rica,ESP-003,Crema Cacao Avellana Clásica,Esparcibles,260,90,407,19900,5178532,86.7,Normal
HUB-SJO,Hub San José,Costa Rica,ESP-004,Crema Cacao Avellana Blanca,Esparcibles,269,80,541,20200,5435067,100.9,Alto
HUB-SJO,Hub San José,Costa Rica,ESP-005,Crema Canela Roll,Esparcibles,206,80,279,19700,4062041,77.3,Normal
HUB-SJO,Hub San José,Costa Rica,ESP-006,Crema Butter Cookie,Esparcibles,278,60,392,24900,6915849,138.9,Alto
HUB-SJO,Hub San José,Costa Rica,COM-001,Combo Desayuno Saludable,Combos,247,50,234,36500,8998637,147.9,Alto
HUB-SJO,Hub San José,Costa Rica,COM-002,Combo Sin Gluten Starter,Combos,78,40,156,48200,3740959,58.2,Normal
HUB-SJO,Hub San José,Costa Rica,COM-003,Combo Esparcibles Trío,Combos,171,40,296,58600,10017833,128.2,Alto
HUB-SJO,Hub San José,Costa Rica,MER-001,Termo Paranice,Merch,17,40,132,21000,348070,12.4,Crítico
HUB-SJO,Hub San José,Costa Rica,MER-002,Tote Bag Paranice,Merch,269,60,368,11500,3098535,134.7,Alto
3PL-MIA,3PL Miami,Estados Unidos,GRA-001,Granola Vainilla Shortbread,GranOLAs,629,120,710,14200,8927294,150.0,Alto
3PL-MIA,3PL Miami,Estados Unidos,GRA-002,Granola Chip Cookie,GranOLAs,370,120,804,14400,5321112,92.4,Alto
3PL-MIA,3PL Miami,Estados Unidos,GRA-003,Granola Fudge Cake,GranOLAs,46,100,328,14600,677947,13.9,Crítico
3PL-MIA,3PL Miami,Estados Unidos,GRA-004,Granola Pistacho Cookie,GranOLAs,308,80,311,17800,5480600,115.5,Alto
3PL-MIA,3PL Miami,Estados Unidos,PAN-001,Mix Pancake Vainilla,Pancakes & Waffles,29,90,501,15900,462632,9.7,Crítico
3PL-MIA,3PL Miami,Estados Unidos,PAN-002,Mix Pancake Chocolate Chips,Pancakes & Waffles,276,90,531,16400,4527475,92.0,Alto
3PL-MIA,3PL Miami,Estados Unidos,PAN-003,Mix Waffle Churro,Pancakes & Waffles,335,70,497,16100,5399089,143.7,Alto
3PL-MIA,3PL Miami,Estados Unidos,PAN-004,Mix Pancake Banana,Pancakes & Waffles,436,100,755,12600,5496008,130.9,Alto
3PL-MIA,3PL Miami,Estados Unidos,PAN-005,Mix Pancake Brownie,Pancakes & Waffles,129,100,648,12800,1651154,38.7,Normal
3PL-MIA,3PL Miami,Estados Unidos,AVE-001,Harina de Almendra,Avena & Harinas,157,150,1181,15200,2384071,31.4,Normal
3PL-MIA,3PL Miami,Estados Unidos,AVE-002,Harina de Avena,Avena & Harinas,409,150,716,11400,4658568,81.7,Normal
3PL-MIA,3PL Miami,Estados Unidos,AVE-003,Hojuelas de Avena,Avena & Harinas,633,150,828,11000,6964153,126.6,Alto
3PL-MIA,3PL Miami,Estados Unidos,ESP-001,Crema Pistacho Cookie,Esparcibles,230,60,300,26800,6166950,115.1,Alto
3PL-MIA,3PL Miami,Estados Unidos,ESP-002,Crema Maní Banana,Esparcibles,80,90,530,19600,1559460,26.5,Bajo
3PL-MIA,3PL Miami,Estados Unidos,ESP-003,Crema Cacao Avellana Clásica,Esparcibles,135,90,493,19900,2681459,44.9,Normal
3PL-MIA,3PL Miami,Estados Unidos,ESP-004,Crema Cacao Avellana Blanca,Esparcibles,28,80,510,20200,565792,10.5,Crítico
3PL-MIA,3PL Miami,Estados Unidos,ESP-005,Crema Canela Roll,Esparcibles,174,80,558,19700,3424395,65.2,Normal
3PL-MIA,3PL Miami,Estados Unidos,ESP-006,Crema Butter Cookie,Esparcibles,58,60,349,24900,1438542,28.9,Bajo
3PL-MIA,3PL Miami,Estados Unidos,COM-001,Combo Desayuno Saludable,Combos,262,50,193,36500,9560647,150.0,Alto
3PL-MIA,3PL Miami,Estados Unidos,COM-002,Combo Sin Gluten Starter,Combos,134,40,157,48200,6467014,100.6,Alto
3PL-MIA,3PL Miami,Estados Unidos,COM-003,Combo Esparcibles Trío,Combos,81,40,148,58600,4741037,60.7,Normal
