mes,canal,inversion_cop,impresiones,clics,pedidos,clientes_nuevos,ingresos_cop,cac_cop,roas
2025-01,Email (Omnisend),899844,33869,1153,154,123,9606123,7315,10.68
2025-01,Google Ads,4463713,228586,5722,331,259,18577993,17234,4.16
2025-01,Influencers,5080238,236191,6513,234,167,13722615,30420,2.7
2025-01,Meta Ads,10070963,490186,12911,538,428,31968197,23530,3.17
2025-01,Orgánico/SEO,0,180271,3555,302,238,18388592,0,
2025-01,TikTok Ads,5127451,334925,6573,200,162,10865315,31650,2.12
2025-01,WhatsApp,1109077,69117,1421,150,111,8786379,9991,7.92
2025-02,Email (Omnisend),1093232,48050,1401,182,147,10557274,7436,9.66
2025-02,Google Ads,4209971,276435,5397,288,220,16477950,19136,3.91
2025-02,Influencers,3557325,231262,4560,204,168,11851881,21174,3.33
2025-02,Meta Ads,9129044,355243,11703,533,390,31894044,23407,3.49
2025-02,Orgánico/SEO,0,169153,4640,291,220,16555498,0,
2025-02,TikTok Ads,5077624,277109,6509,211,159,12467187,31934,2.46
2025-02,WhatsApp,902890,56838,1157,131,103,6971228,8765,7.72
2025-03,Email (Omnisend),1209196,69768,1550,215,155,12405139,7801,10.26
2025-03,Google Ads,4497288,170819,5765,330,253,18919800,17775,4.21
2025-03,Influencers,4101371,233945,5258,207,152,12074788,26982,2.94
2025-03,Meta Ads,9634296,639935,12351,501,370,30301256,26038,3.15
2025-03,Orgánico/SEO,0,80118,2787,269,207,15406685,0,
2025-03,TikTok Ads,4507538,275120,5778,210,168,12081141,26830,2.68
2025-03,WhatsApp,906723,50094,1162,133,90,8320490,10074,9.18
2025-04,Email (Omnisend),1072743,67550,1375,191,136,11594696,7887,10.81
2025-04,Google Ads,4124299,164199,5287,351,262,20367867,15741,4.94
2025-04,Influencers,4542272,194519,5823,228,168,13299710,27037,2.93
2025-04,Meta Ads,10465350,466883,13417,568,423,32996538,24740,3.15
2025-04,Orgánico/SEO,0,136178,3359,333,232,19561329,0,
2025-04,TikTok Ads,5886755,203952,7547,227,165,13143659,35677,2.23
2025-04,WhatsApp,1097577,51605,1407,150,118,9092268,9301,8.28
2025-05,Email (Omnisend),1543998,89475,1979,293,205,15562740,7531,10.08
2025-05,Google Ads,5422874,307541,6952,501,352,26470512,15405,4.88
2025-05,Influencers,5763361,382861,7388,310,235,17968305,24524,3.12
2025-05,Meta Ads,13595960,856721,17430,834,645,47863188,21079,3.52
2025-05,Orgánico/SEO,0,203518,6286,430,316,25155162,0,
2025-05,TikTok Ads,6090932,213308,7808,281,186,16166771,32746,2.65
2025-05,WhatsApp,1319850,53672,1692,199,142,11480846,9294,8.7
2025-06,Email (Omnisend),1425064,88412,1827,274,204,15258191,6985,10.71
2025-06,Google Ads,5499271,222051,7050,464,314,26384517,17513,4.8
2025-06,Influencers,6257504,277267,8022,304,215,17585652,29104,2.81
2025-06,Meta Ads,14829030,646874,19011,808,591,46069815,25091,3.11
2025-06,Orgánico/SEO,0,141147,4335,417,291,25030531,0,
