periodo,pais,ventas_cop,pedidos,clientes_activos,ticket_promedio_cop
2025-01-01,Colombia,59988489,645,591,93005
2025-02-01,Colombia,43395141,447,422,97081
2025-03-01,Colombia,49654346,522,494,95123
2025-04-01,Colombia,37631776,376,355,100085
2025-04-01,Costa Rica,12363200,122,117,101338
2025-05-01,Colombia,48691136,459,432,106081
2025-05-01,Costa Rica,17389122,177,162,98244
2025-06-01,Colombia,45352025,436,404,104018
2025-06-01,Costa Rica,15276723,153,141,99848
2025-07-01,Colombia,42429243,409,382,103739
2025-07-01,Costa Rica,12005881,128,121,93796
2025-08-01,Colombia,37967819,388,365,97855
2025-08-01,Costa Rica,17421951,163,151,106883
2025-09-01,Colombia,47423607,471,448,100687
2025-09-01,Costa Rica,15935388,150,141,106236
2025-10-01,Colombia,55193626,507,474,108863
2025-10-01,Costa Rica,14027703,140,130,100198
2025-10-01,Estados Unidos,10930181,113,106,96727
2025-11-01,Colombia,60728256,620,571,97949
2025-11-01,Costa Rica,23222368,235,217,98819
2025-11-01,Estados Unidos,11479132,115,107,99819
2025-12-01,Colombia,61873163,592,547,104515
2025-12-01,Costa Rica,20342503,214,194,95058
2025-12-01,Estados Unidos,10453340,112,102,93333
2026-01-01,Colombia,58496698,616,570,94962
2026-01-01,Costa Rica,22652233,226,203,100231
2026-01-01,Estados Unidos,12313622,122,114,100931
2026-02-01,Colombia,45490834,478,440,95169
2026-02-01,Costa Rica,17367123,158,149,109918
2026-02-01,Estados Unidos,11534476,112,104,102986
2026-03-01,Colombia,52666746,530,491,99371
2026-03-01,Costa Rica,17277265,178,161,97063
2026-03-01,Estados Unidos,11753416,120,109,97945
2026-04-01,Colombia,50806671,524,488,96959
2026-04-01,Costa Rica,17955032,166,157,108163
2026-04-01,Estados Unidos,9609734,102,93,94213
2026-05-01,Colombia,72759155,686,620,106063
2026-05-01,Costa Rica,22960671,229,219,100265
2026-05-01,Estados Unidos,14075381,135,121,104262
2026-06-01,Colombia,58357062,559,511,104395
2026-06-01,Costa Rica,20640580,203,190,101678
2026-06-01,Estados Unidos,11559455,112,106,103209
2026-07-01,Colombia,58243435,540,502,107858
2026-07-01,Costa Rica,19825105,187,168,106017
2026-07-01,Estados Unidos,10747597,110,102,97705
2026-08-01,Colombia,55939889,542,503,103210
2026-08-01,Costa Rica,23338705,220,203,106085
2026-08-01,Estados Unidos,10587388,106,97,99881
