fecha,mes,pedido_id,cliente_id,pais,ciudad,canal,metodo_pago,producto_id,producto,categoria,cantidad,precio_unitario,descuento_pct,total_cop,margen_pct
2025-01-01,2025-01,PED-100000,CLI-00295,Colombia,Pereira,Google Ads,Tarjeta crédito,PAN-002,Mix Pancake Chocolate Chips,Pancakes & Waffles,1,41690,0.0,41690,0.607
2025-01-01,2025-01,PED-100001,CLI-01138,Colombia,Pereira,Instagram Ads,PSE,PAN-001,Mix Pancake Vainilla,Pancakes & Waffles,3,41690,0.0,125070,0.619
2025-01-01,2025-01,PED-100002,CLI-00352,Colombia,Pereira,Google Ads,Tarjeta débito,GRA-001,Granola Vainilla Shortbread,GranOLAs,2,37950,0.0,75900,0.626
2025-01-01,2025-01,PED-100003,CLI-01402,Colombia,Bogotá,Instagram Ads,Tarjeta débito,PAN-003,Mix Waffle Churro,Pancakes & Waffles,2,41690,0.0,83380,0.614
2025-01-01,2025-01,PED-100003,CLI-01402,Colombia,Bogotá,Instagram Ads,Tarjeta débito,MER-002,Tote Bag Paranice,Merch,1,28000,0.0,28000,0.589
2025-01-01,2025-01,PED-100004,CLI-02075,Colombia,Cali,Google Ads,Tarjeta crédito,GRA-003,Granola Fudge Cake,GranOLAs,1,37950,0.05,36052,0.615
2025-01-01,2025-01,PED-100005,CLI-01376,Colombia,Bogotá,Referidos,Contraentrega,GRA-003,Granola Fudge Cake,GranOLAs,1,37950,0.0,37950,0.615
2025-01-01,2025-01,PED-100006,CLI-00678,Colombia,Cali,Google Ads,Tarjeta crédito,ESP-004,Crema Cacao Avellana Blanca,Esparcibles,1,48590,0.0,48590,0.584
2025-01-01,2025-01,PED-100006,CLI-00678,Colombia,Cali,Google Ads,Tarjeta crédito,AVE-001,Harina de Almendra,Avena & Harinas,1,34650,0.0,34650,0.561
2025-01-01,2025-01,PED-100007,CLI-03258,Colombia,Bucaramanga,Email/WhatsApp,Tarjeta crédito,PAN-002,Mix Pancake Chocolate Chips,Pancakes & Waffles,3,41690,0.0,125070,0.607
2025-01-01,2025-01,PED-100008,CLI-03658,Colombia,Cali,Google Ads,Tarjeta débito,COM-001,Combo Desayuno Saludable,Combos,1,89900,0.0,89900,0.594
2025-01-01,2025-01,PED-100009,CLI-00203,Colombia,Pereira,Google Ads,Contraentrega,ESP-002,Crema Maní Banana,Esparcibles,2,48590,0.0,97180,0.597
2025-01-01,2025-01,PED-100010,CLI-02027,Colombia,Bucaramanga,Orgánico/SEO,PSE,ESP-003,Crema Cacao Avellana Clásica,Esparcibles,1,48590,0.0,48590,0.59
2025-01-01,2025-01,PED-100011,CLI-03898,Colombia,Pereira,TikTok Ads,PayPal,PAN-001,Mix Pancake Vainilla,Pancakes & Waffles,2,41690,0.0,83380,0.619
2025-01-01,2025-01,PED-100012,CLI-03426,Colombia,Barranquilla,TikTok Ads,Contraentrega,PAN-003,Mix Waffle Churro,Pancakes & Waffles,3,41690,0.05,118816,0.614
2025-01-01,2025-01,PED-100013,CLI-03896,Colombia,Bogotá,TikTok Ads,Tarjeta débito,ESP-003,Crema Cacao Avellana Clásica,Esparcibles,1,48590,0.0,48590,0.59
2025-01-01,2025-01,PED-100013,CLI-03896,Colombia,Bogotá,TikTok Ads,Tarjeta débito,ESP-004,Crema Cacao Avellana Blanca,Esparcibles,2,48590,0.0,97180,0.584
2025-01-01,2025-01,PED-100014,CLI-00683,Colombia,Pereira,Google Ads,Tarjeta crédito,GRA-003,Granola Fudge Cake,GranOLAs,2,37950,0.0,75900,0.615
2025-01-01,2025-01,PED-100015,CLI-01424,Colombia,Cali,Google Ads,PSE,ESP-004,Crema Cacao Avellana Blanca,Esparcibles,3,48590,0.0,145770,0.584
2025-01-01,2025-01,PED-100016,CLI-03194,Colombia,Bucaramanga,Email/WhatsApp,Tarjeta crédito,ESP-003,Crema Cacao Avellana Clásica,Esparcibles,2,48590,0.1,87462,0.59
2025-01-01,2025-01,PED-100017,CLI-00369,Colombia,Medellín,Instagram Ads,Tarjeta débito,COM-001,Combo Desayuno Saludable,Combos,1,89900,0.0,89900,0.594
2025-01-01,2025-01,PED-100018,CLI-01040,Colombia,Cali,Orgánico/SEO,PayPal,ESP-004,Crema Cacao Avellana Blanca,Esparcibles,2,48590,0.0,97180,0.584
2025-01-01,2025-01,PED-100019,CLI-02236,Colombia,Bucaramanga,Instagram Ads,Tarjeta crédito,AVE-003,Hojuelas de Avena,Avena & Harinas,3,31350,0.0,94050,0.649
2025-01-01,2025-01,PED-100020,CLI-03345,Colombia,Cali,Instagram Ads,Tarjeta débito,GRA-002,Granola Chip Cookie,GranOLAs,2,37950,0.0,75900,0.621
2025-01-01,2025-01,PED-100021,CLI-00498,Colombia,Barranquilla,Instagram Ads,PayPal,MER-002,Tote Bag Paranice,Merch,2,28000,0.0,56000,0.589
2025-01-01,2025-01,PED-100022,CLI-04216,Colombia,Pereira,Instagram Ads,PSE,ESP-002,Crema Maní Banana,Esparcibles,3,48590,0.0,145770,0.597
2025-01-01,2025-01,PED-100023,CLI-03727,Colombia,Bucaramanga,Email/WhatsApp,Tarjeta crédito,COM-002,Combo Sin Gluten Starter,Combos,3,119900,0.0,359700,0.598
2025-01-02,2025-01,PED-100024,CLI-01768,Colombia,Cali,Instagram Ads,PSE,ESP-003,Crema Cacao Avellana Clásica,Esparcibles,3,48590,0.0,145770,0.59
2025-01-02,2025-01,PED-100025,CLI-02375,Colombia,Medellín,Google Ads,Tarjeta crédito,ESP-003,Crema Cacao Avellana Clásica,Esparcibles,1,48590,0.05,46160,0.59
2025-01-02,2025-01,PED-100026,CLI-02333,Colombia,Bucaramanga,Instagram Ads,Tarjeta crédito,PAN-003,Mix Waffle Churro,Pancakes & Waffles,1,41690,0.0,41690,0.614
2025-01-02,2025-01,PED-100027,CLI-03492,Colombia,Bogotá,Google Ads,Tarjeta crédito,ESP-003,Crema Cacao Avellana Clásica,Esparcibles,2,48590,0.0,97180,0.59
2025-01-02,2025-01,PED-100028,CLI-02949,Colombia,Barranquilla,Instagram Ads,PSE,ESP-004,Crema Cacao Avellana Blanca,Esparcibles,2,48590,0.0,97180,0.584
2025-01-02,2025-01,PED-100029,CLI-02031,Colombia,Medellín,Google Ads,Tarjeta crédito,PAN-003,Mix Waffle Churro,Pancakes & Waffles,1,41690,0.0,41690,0.614
2025-01-02,2025-01,PED-100030,CLI-02335,Colombia,Pereira,Instagram Ads,Contraentrega,GRA-002,Granola Chip Cookie,GranOLAs,3,37950,0.1,102465,0.621
2025-01-02,2025-01,PED-100031,CLI-03263,Colombia,Cali,Email/WhatsApp,Tarjeta crédito,ESP-004,Crema Cacao Avellana Blanca,Esparcibles,1,48590,0.05,46160,0.584
2025-01-02,2025-01,PED-100032,CLI-00978,Colombia,Bucaramanga,TikTok Ads,Tarjeta crédito,GRA-002,Granola Chip Cookie,GranOLAs,3,37950,0.05,108158,0.621
2025-01-02,2025-01,PED-100032,CLI-00978,Colombia,Bucaramanga,TikTok Ads,Tarjeta crédito,GRA-001,Granola Vainilla Shortbread,GranOLAs,2,37950,0.05,72105,0.626
2025-01-02,2025-01,PED-100033,CLI-02395,Colombia,Medellín,TikTok Ads,Tarjeta crédito,GRA-001,Granola Vainilla Shortbread,GranOLAs,2,37950,0.0,75900,0.626
