sku,nombre,categoria,canal,tipo_canal,pais,pvp_consumidor_cop,precio_factura_paranice_cop,costo_unitario_cop,margen_paranice_pct,brecha_vs_propio_pct
GRA-VAN,Vanilla Shortbread,GranOLAS,E-commerce propio,D2C,Colombia,37950,37950,14100,62.8,0.0
GRA-VAN,Vanilla Shortbread,GranOLAS,Éxito,Retail,Colombia,42100,28628,14100,50.7,10.9
GRA-VAN,Vanilla Shortbread,GranOLAS,Carulla,Retail,Colombia,42900,29172,14100,51.7,13.0
GRA-VAN,Vanilla Shortbread,GranOLAS,Rappi,Marketplace,Colombia,43650,32738,14100,56.9,15.0
GRA-VAN,Vanilla Shortbread,GranOLAS,Fithub,Especializado,Colombia,46700,32690,14100,56.9,23.1
GRA-VAN,Vanilla Shortbread,GranOLAS,Tiendas naturistas,Especializado,Colombia,44800,32256,14100,56.3,18.1
GRA-VAN,Vanilla Shortbread,GranOLAS,Paranice US,Internacional,Estados Unidos,49350,49350,14100,71.4,30.0
GRA-VAN,Vanilla Shortbread,GranOLAS,Distribuidor CR,Internacional,Costa Rica,46300,32410,14100,56.5,22.0
GRA-CHI,Chip Cookie,GranOLAS,E-commerce propio,D2C,Colombia,37950,37950,14350,62.2,0.0
GRA-CHI,Chip Cookie,GranOLAS,Éxito,Retail,Colombia,42100,28628,14350,49.9,10.9
GRA-CHI,Chip Cookie,GranOLAS,Carulla,Retail,Colombia,42900,29172,14350,50.8,13.0
GRA-CHI,Chip Cookie,GranOLAS,Rappi,Marketplace,Colombia,43650,32738,14350,56.2,15.0
GRA-CHI,Chip Cookie,GranOLAS,Fithub,Especializado,Colombia,46700,32690,14350,56.1,23.1
GRA-CHI,Chip Cookie,GranOLAS,Tiendas naturistas,Especializado,Colombia,44800,32256,14350,55.5,18.1
GRA-CHI,Chip Cookie,GranOLAS,Paranice US,Internacional,Estados Unidos,49350,49350,14350,70.9,30.0
GRA-CHI,Chip Cookie,GranOLAS,Distribuidor CR,Internacional,Costa Rica,46300,32410,14350,55.7,22.0
GRA-FUD,Fudge Cake,GranOLAS,E-commerce propio,D2C,Colombia,37950,37950,14500,61.8,0.0
GRA-FUD,Fudge Cake,GranOLAS,Éxito,Retail,Colombia,42100,28628,14500,49.4,10.9
GRA-FUD,Fudge Cake,GranOLAS,Carulla,Retail,Colombia,42900,29172,14500,50.3,13.0
GRA-FUD,Fudge Cake,GranOLAS,Rappi,Marketplace,Colombia,43650,32738,14500,55.7,15.0
GRA-FUD,Fudge Cake,GranOLAS,Fithub,Especializado,Colombia,46700,32690,14500,55.6,23.1
GRA-FUD,Fudge Cake,GranOLAS,Tiendas naturistas,Especializado,Colombia,44800,32256,14500,55.0,18.1
GRA-FUD,Fudge Cake,GranOLAS,Paranice US,Internacional,Estados Unidos,49350,49350,14500,70.6,30.0
GRA-FUD,Fudge Cake,GranOLAS,Distribuidor CR,Internacional,Costa Rica,46300,32410,14500,55.3,22.0
GRA-PIS,Pistachio Cookie,GranOLAS,E-commerce propio,D2C,Colombia,44950,44950,18600,58.6,0.0
GRA-PIS,Pistachio Cookie,GranOLAS,Éxito,Retail,Colombia,49900,33932,18600,45.2,11.0
GRA-PIS,Pistachio Cookie,GranOLAS,Carulla,Retail,Colombia,50800,34544,18600,46.2,13.0
GRA-PIS,Pistachio Cookie,GranOLAS,Rappi,Marketplace,Colombia,51700,38775,18600,52.0,15.0
GRA-PIS,Pistachio Cookie,GranOLAS,Fithub,Especializado,Colombia,55300,38710,18600,52.0,23.0
GRA-PIS,Pistachio Cookie,GranOLAS,Tiendas naturistas,Especializado,Colombia,53050,38196,18600,51.3,18.0
GRA-PIS,Pistachio Cookie,GranOLAS,Paranice US,Internacional,Estados Unidos,58450,58450,18600,68.2,30.0
GRA-PIS,Pistachio Cookie,GranOLAS,Distribuidor CR,Internacional,Costa Rica,54850,38395,18600,51.6,22.0
ESP-PIS,Buttery Pistachio Cookie,Esparcibles,E-commerce propio,D2C,Colombia,63500,63500,27400,56.9,0.0
ESP-PIS,Buttery Pistachio Cookie,Esparcibles,Éxito,Retail,Colombia,70500,47940,27400,42.8,11.0
ESP-PIS,Buttery Pistachio Cookie,Esparcibles,Carulla,Retail,Colombia,71750,48790,27400,43.8,13.0
ESP-PIS,Buttery Pistachio Cookie,Esparcibles,Rappi,Marketplace,Colombia,73000,54750,27400,50.0,15.0
ESP-PIS,Buttery Pistachio Cookie,Esparcibles,Fithub,Especializado,Colombia,78100,54670,27400,49.9,23.0
ESP-PIS,Buttery Pistachio Cookie,Esparcibles,Tiendas naturistas,Especializado,Colombia,74950,53964,27400,49.2,18.0
ESP-PIS,Buttery Pistachio Cookie,Esparcibles,Paranice US,Internacional,Estados Unidos,82550,82550,27400,66.8,30.0
ESP-PIS,Buttery Pistachio Cookie,Esparcibles,Distribuidor CR,Internacional,Costa Rica,77450,54215,27400,49.5,22.0
ESP-BUT,Golden Butter Cookie,Esparcibles,E-commerce propio,D2C,Colombia,59900,59900,25100,58.1,0.0
ESP-BUT,Golden Butter Cookie,Esparcibles,Éxito,Retail,Colombia,66500,45220,25100,44.5,11.0
ESP-BUT,Golden Butter Cookie,Esparcibles,Carulla,Retail,Colombia,67700,46036,25100,45.5,13.0
ESP-BUT,Golden Butter Cookie,Esparcibles,Rappi,Marketplace,Colombia,68900,51675,25100,51.4,15.0
ESP-BUT,Golden Butter Cookie,Esparcibles,Fithub,Especializado,Colombia,73700,51590,25100,51.3,23.0
ESP-BUT,Golden Butter Cookie,Esparcibles,Tiendas naturistas,Especializado,Colombia,70700,50904,25100,50.7,18.0
ESP-BUT,Golden Butter Cookie,Esparcibles,Paranice US,Internacional,Estados Unidos,77850,77850,25100,67.8,30.0
ESP-BUT,Golden Butter Cookie,Esparcibles,Distribuidor CR,Internacional,Costa Rica,73100,51170,25100,50.9,22.0
ESP-PB,Peanutty Banana Shake,Esparcibles,E-commerce propio,D2C,Colombia,48600,48600,19400,60.1,0.0
ESP-PB,Peanutty Banana Shake,Esparcibles,Éxito,Retail,Colombia,53950,36686,19400,47.1,11.0
ESP-PB,Peanutty Banana Shake,Esparcibles,Carulla,Retail,Colombia,54900,37332,19400,48.0,13.0
ESP-PB,Peanutty Banana Shake,Esparcibles,Rappi,Marketplace,Colombia,55900,41925,19400,53.7,15.0
