lote_id,fecha,mes,sku,producto,categoria,unidades_planeadas,unidades_producidas,merma_pct,cumplimiento_plan_pct,turno,linea,es_sin_gluten,gluten_ppm,estado_calidad,costo_lote_cop,vida_util_dias
L-7000,2025-07-01,2025-07,ESP-BUT,Golden Butter Cookie,Esparcibles,1712,1647,3.76,96.2,Mañana,Línea 3 · Cremas,True,7.1,Aprobado,41339700,201
L-7001,2025-07-01,2025-07,ESP-BABY,Baby Spreads,Esparcibles,448,429,4.05,95.8,Tarde,Línea 1 · Hornos,True,3.7,Aprobado,3260400,230
L-7002,2025-07-02,2025-07,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,1138,1125,1.08,98.9,Mañana,Línea 3 · Cremas,True,6.8,Aprobado,13275000,197
L-7003,2025-07-02,2025-07,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,2291,2208,3.62,96.4,Tarde,Línea 3 · Cremas,True,10.6,Aprobado,27379200,221
L-7004,2025-07-02,2025-07,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,827,822,0.53,99.4,Tarde,Línea 1 · Hornos,True,10.2,Aprobado,22522800,314
L-7005,2025-07-02,2025-07,COM-MIX,Perfect Mix & Match,Combos,2481,2333,5.93,94.0,Tarde,Línea 1 · Hornos,True,3.8,Aprobado,70223300,253
L-7006,2025-07-03,2025-07,HAR-ALM,Harina de Almendra,Avena & Harinas,1894,1816,4.09,95.9,Mañana,Línea 1 · Hornos,True,8.7,Aprobado,27966400,310
L-7007,2025-07-03,2025-07,COM-3SPR,Three Pack Spread,Combos,1929,1889,2.04,97.9,Mañana,Línea 1 · Hornos,True,0.6,Aprobado,112395500,333
L-7008,2025-07-03,2025-07,GRA-PIS,Pistachio Cookie,GranOLAS,1838,1801,2.0,98.0,Mañana,Línea 3 · Cremas,True,5.9,Aprobado,33498600,293
L-7009,2025-07-04,2025-07,HAR-AVE,Harina de Avena,Avena & Harinas,1121,1085,3.17,96.8,Tarde,Línea 1 · Hornos,True,4.7,Aprobado,12586000,325
L-7010,2025-07-04,2025-07,ESP-CIN,Golden Cinnamon Roll,Esparcibles,2340,2286,2.31,97.7,Mañana,Línea 3 · Cremas,True,2.4,Aprobado,45034200,294
L-7011,2025-07-04,2025-07,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,686,667,2.64,97.2,Tarde,Línea 2 · Molienda,True,8.5,Aprobado,8270800,331
L-7012,2025-07-07,2025-07,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,631,612,2.9,97.0,Mañana,Línea 3 · Cremas,True,3.7,Aprobado,7650000,244
L-7013,2025-07-07,2025-07,COM-3MEZ,Three Pack Mezclas,Combos,557,549,1.33,98.6,Tarde,Línea 1 · Hornos,True,9.5,Aprobado,22069800,262
L-7014,2025-07-07,2025-07,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,1018,978,3.9,96.1,Mañana,Línea 1 · Hornos,True,2.2,Aprobado,16234800,206
L-7015,2025-07-07,2025-07,ESP-BABY,Baby Spreads,Esparcibles,480,470,1.94,97.9,Tarde,Línea 3 · Cremas,True,3.9,Aprobado,3572000,308
L-7016,2025-07-08,2025-07,ESP-BABY,Baby Spreads,Esparcibles,2142,2101,1.87,98.1,Tarde,Línea 2 · Molienda,True,2.3,Aprobado,15967600,190
L-7017,2025-07-08,2025-07,ESP-BUT,Golden Butter Cookie,Esparcibles,460,430,6.32,93.5,Mañana,Línea 3 · Cremas,True,5.8,Aprobado,10793000,213
L-7018,2025-07-08,2025-07,GRA-PIS,Pistachio Cookie,GranOLAS,1323,1295,2.1,97.9,Mañana,Línea 2 · Molienda,True,9.0,Aprobado,24087000,318
L-7019,2025-07-08,2025-07,GRA-PIS,Pistachio Cookie,GranOLAS,2199,2194,0.2,99.8,Mañana,Línea 1 · Hornos,True,0.7,Aprobado,40808400,315
L-7020,2025-07-08,2025-07,ESP-BABY,Baby Spreads,Esparcibles,1321,1307,1.02,98.9,Mañana,Línea 1 · Hornos,True,9.8,Aprobado,9933200,268
L-7021,2025-07-09,2025-07,ESP-BUT,Golden Butter Cookie,Esparcibles,2245,2198,2.08,97.9,Tarde,Línea 1 · Hornos,True,1.5,Aprobado,55169800,209
L-7022,2025-07-09,2025-07,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,2580,2526,2.09,97.9,Mañana,Línea 2 · Molienda,True,9.0,Aprobado,69212400,208
L-7023,2025-07-09,2025-07,HAR-ALM,Harina de Almendra,Avena & Harinas,1911,1857,2.8,97.2,Mañana,Línea 2 · Molienda,True,7.3,Aprobado,28597800,245
L-7024,2025-07-10,2025-07,COM-3MEZ,Three Pack Mezclas,Combos,1382,1322,4.27,95.7,Tarde,Línea 1 · Hornos,True,2.8,Aprobado,53144400,297
L-7025,2025-07-10,2025-07,ESP-CIN,Golden Cinnamon Roll,Esparcibles,655,633,3.26,96.6,Mañana,Línea 1 · Hornos,True,11.7,Aprobado,12470100,295
L-7026,2025-07-10,2025-07,HAR-AVE,Harina de Avena,Avena & Harinas,2355,2254,4.26,95.7,Mañana,Línea 3 · Cremas,True,10.9,Aprobado,26146400,199
L-7027,2025-07-10,2025-07,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,2455,2317,5.61,94.4,Tarde,Línea 1 · Hornos,True,6.7,Aprobado,63485800,252
L-7028,2025-07-10,2025-07,GRA-FUD,Fudge Cake,GranOLAS,1821,1758,3.41,96.5,Mañana,Línea 1 · Hornos,True,6.5,Aprobado,25491000,284
L-7029,2025-07-11,2025-07,COM-3GRA,Three Pack GranOLA,Combos,1414,1381,2.3,97.7,Mañana,Línea 3 · Cremas,True,5.1,Aprobado,59383000,359
L-7030,2025-07-11,2025-07,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,2347,2230,4.97,95.0,Tarde,Línea 3 · Cremas,True,11.4,Aprobado,27652000,243
L-7031,2025-07-11,2025-07,ESP-BABY,Baby Spreads,Esparcibles,2060,2055,0.2,99.8,Tarde,Línea 3 · Cremas,True,0.1,Aprobado,15618000,233
L-7032,2025-07-14,2025-07,ESP-CRE,Creamy Cocoa Hazelnut,Esparcibles,2030,1958,3.53,96.5,Tarde,Línea 3 · Cremas,True,5.2,Aprobado,38964200,274
L-7033,2025-07-14,2025-07,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,1292,1239,4.09,95.9,Mañana,Línea 1 · Hornos,True,9.9,Aprobado,14620200,314
L-7034,2025-07-14,2025-07,ESP-BUT,Golden Butter Cookie,Esparcibles,1690,1619,4.19,95.8,Tarde,Línea 2 · Molienda,True,7.0,Aprobado,40636900,269
L-7035,2025-07-14,2025-07,HAR-AVE,Harina de Avena,Avena & Harinas,2433,2306,5.2,94.8,Tarde,Línea 1 · Hornos,True,5.4,Aprobado,26749600,313
L-7036,2025-07-14,2025-07,ESP-BABY,Baby Spreads,Esparcibles,2568,2559,0.31,99.6,Mañana,Línea 3 · Cremas,True,9.9,Aprobado,19448400,272
L-7037,2025-07-15,2025-07,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,2389,2354,1.46,98.5,Mañana,Línea 2 · Molienda,True,9.2,Aprobado,64499600,192
L-7038,2025-07-15,2025-07,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,1670,1591,4.72,95.3,Tarde,Línea 2 · Molienda,True,6.0,Aprobado,20364800,316
L-7039,2025-07-16,2025-07,HAR-AVE,Harina de Avena,Avena & Harinas,2224,2139,3.81,96.2,Tarde,Línea 1 · Hornos,True,11.8,Aprobado,24812400,259
L-7040,2025-07-16,2025-07,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,702,683,2.67,97.3,Tarde,Línea 2 · Molienda,True,4.5,Aprobado,8537500,224
L-7041,2025-07-16,2025-07,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,679,677,0.2,99.7,Tarde,Línea 1 · Hornos,True,3.6,Aprobado,10967400,191
L-7042,2025-07-16,2025-07,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,608,584,3.87,96.1,Mañana,Línea 3 · Cremas,True,2.1,Aprobado,9577600,334
L-7043,2025-07-16,2025-07,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,1292,1259,2.48,97.4,Tarde,Línea 1 · Hornos,True,2.8,Aprobado,15737500,302
L-7044,2025-07-17,2025-07,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,2593,2541,1.99,98.0,Mañana,Línea 3 · Cremas,True,6.6,Aprobado,42180600,246
L-7045,2025-07-17,2025-07,ESP-BABY,Baby Spreads,Esparcibles,2412,2338,3.04,96.9,Tarde,Línea 1 · Hornos,True,10.7,Aprobado,17768800,293
L-7046,2025-07-18,2025-07,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,2564,2514,1.92,98.0,Mañana,Línea 1 · Hornos,True,2.7,Aprobado,41732400,226
L-7047,2025-07-18,2025-07,ESP-BABY,Baby Spreads,Esparcibles,735,732,0.4,99.6,Mañana,Línea 3 · Cremas,True,5.6,Aprobado,5563200,282
L-7048,2025-07-18,2025-07,HAR-ALM,Harina de Almendra,Avena & Harinas,1748,1684,3.62,96.3,Tarde,Línea 2 · Molienda,True,9.8,Aprobado,25933600,193
L-7049,2025-07-18,2025-07,COM-WAF,Mini Wafflera,Combos,2325,2320,0.2,99.8,Mañana,Línea 1 · Hornos,False,,Aprobado,134560000,335
L-7050,2025-07-21,2025-07,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,1048,1045,0.2,99.7,Tarde,Línea 1 · Hornos,True,0.8,Aprobado,12958000,303
L-7051,2025-07-21,2025-07,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,1953,1891,3.13,96.8,Tarde,Línea 2 · Molienda,True,6.9,Aprobado,38009100,338
L-7052,2025-07-21,2025-07,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,907,905,0.2,99.8,Mañana,Línea 1 · Hornos,True,31.0,Rechazado,15023000,263
L-7053,2025-07-21,2025-07,GRA-FUD,Fudge Cake,GranOLAS,2290,2254,1.54,98.4,Tarde,Línea 2 · Molienda,True,7.7,Aprobado,32683000,336
L-7054,2025-07-22,2025-07,GRA-CHI,Chip Cookie,GranOLAS,691,653,5.43,94.5,Mañana,Línea 3 · Cremas,True,5.6,Aprobado,9370550,305
L-7055,2025-07-22,2025-07,HAR-ALM,Harina de Almendra,Avena & Harinas,1757,1715,2.37,97.6,Tarde,Línea 2 · Molienda,True,6.2,Aprobado,26411000,198
L-7056,2025-07-22,2025-07,GRA-VAN,Vanilla Shortbread,GranOLAS,1542,1510,2.02,97.9,Mañana,Línea 1 · Hornos,True,0.9,Aprobado,21291000,345
L-7057,2025-07-22,2025-07,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,2126,2023,4.8,95.2,Tarde,Línea 1 · Hornos,True,10.4,Aprobado,25085200,303
L-7058,2025-07-22,2025-07,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,2102,2031,3.34,96.6,Mañana,Línea 1 · Hornos,True,7.6,Aprobado,23965800,236
L-7059,2025-07-23,2025-07,GRA-CHI,Chip Cookie,GranOLAS,1258,1190,5.4,94.6,Mañana,Línea 2 · Molienda,True,6.4,Aprobado,17076500,322
L-7060,2025-07-23,2025-07,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,2078,1964,5.44,94.5,Mañana,Línea 2 · Molienda,True,5.9,Aprobado,32602400,325
L-7061,2025-07-23,2025-07,GRA-FUD,Fudge Cake,GranOLAS,1473,1393,5.37,94.6,Tarde,Línea 1 · Hornos,True,6.5,Aprobado,20198500,233
L-7062,2025-07-23,2025-07,COM-WAF,Mini Wafflera,Combos,2299,2190,4.71,95.3,Tarde,Línea 2 · Molienda,False,,Aprobado,127020000,238
L-7063,2025-07-23,2025-07,HAR-AVE,Harina de Avena,Avena & Harinas,868,863,0.46,99.4,Tarde,Línea 1 · Hornos,True,8.8,Aprobado,10010800,231
L-7064,2025-07-24,2025-07,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,541,537,0.7,99.3,Mañana,Línea 1 · Hornos,True,2.5,Aprobado,8806800,225
L-7065,2025-07-24,2025-07,ESP-PB,Peanutty Banana Shake,Esparcibles,1469,1393,5.15,94.8,Tarde,Línea 3 · Cremas,True,4.4,Aprobado,27024200,220
L-7066,2025-07-24,2025-07,HAR-AVE,Harina de Avena,Avena & Harinas,1820,1816,0.2,99.8,Mañana,Línea 3 · Cremas,True,11.4,Aprobado,21065600,240
L-7067,2025-07-24,2025-07,ESP-PB,Peanutty Banana Shake,Esparcibles,1588,1528,3.75,96.2,Tarde,Línea 2 · Molienda,True,1.7,Aprobado,29643200,202
L-7068,2025-07-24,2025-07,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,867,826,4.62,95.3,Tarde,Línea 2 · Molienda,True,10.5,Aprobado,16602600,198
L-7069,2025-07-25,2025-07,HAR-ALM,Harina de Almendra,Avena & Harinas,734,698,4.79,95.1,Mañana,Línea 1 · Hornos,True,7.3,Aprobado,10749200,278
L-7070,2025-07-25,2025-07,ESP-CRE,Creamy Cocoa Hazelnut,Esparcibles,1707,1660,2.71,97.2,Mañana,Línea 2 · Molienda,True,11.2,Aprobado,33034000,285
L-7071,2025-07-25,2025-07,HAR-AVE,Harina de Avena,Avena & Harinas,1681,1622,3.46,96.5,Mañana,Línea 3 · Cremas,True,4.1,Aprobado,18815200,246
L-7072,2025-07-25,2025-07,GRA-CHI,Chip Cookie,GranOLAS,839,810,3.39,96.5,Mañana,Línea 3 · Cremas,True,9.3,Aprobado,11623500,274
L-7073,2025-07-25,2025-07,ESP-BABY,Baby Spreads,Esparcibles,1985,1931,2.68,97.3,Mañana,Línea 3 · Cremas,True,8.0,Aprobado,14675600,257
L-7074,2025-07-28,2025-07,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,2037,1997,1.95,98.0,Mañana,Línea 3 · Cremas,True,0.8,Aprobado,23564600,233
L-7075,2025-07-28,2025-07,COM-3MEZ,Three Pack Mezclas,Combos,2028,1988,1.95,98.0,Tarde,Línea 2 · Molienda,True,11.3,Aprobado,79917600,357
L-7076,2025-07-28,2025-07,ESP-CIN,Golden Cinnamon Roll,Esparcibles,1070,1014,5.19,94.8,Mañana,Línea 2 · Molienda,True,3.4,Aprobado,19975800,198
L-7077,2025-07-28,2025-07,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,2323,2268,2.35,97.6,Tarde,Línea 3 · Cremas,True,4.5,Aprobado,37195200,222
L-7078,2025-07-28,2025-07,GRA-PIS,Pistachio Cookie,GranOLAS,1458,1455,0.2,99.8,Mañana,Línea 2 · Molienda,True,2.9,Aprobado,27063000,243
L-7079,2025-07-29,2025-07,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,500,487,2.56,97.4,Mañana,Línea 1 · Hornos,True,9.5,Aprobado,6233600,309
L-7080,2025-07-29,2025-07,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,2104,2028,3.58,96.4,Mañana,Línea 2 · Molienda,True,8.3,Aprobado,25147200,285
L-7081,2025-07-30,2025-07,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,1691,1585,6.21,93.7,Tarde,Línea 1 · Hornos,True,5.2,Aprobado,31858500,215
L-7082,2025-07-30,2025-07,GRA-VAN,Vanilla Shortbread,GranOLAS,2435,2364,2.91,97.1,Mañana,Línea 2 · Molienda,True,2.1,Aprobado,33332400,229
L-7083,2025-07-30,2025-07,COM-DECK,Deck de Cartas,Combos,1071,1035,3.29,96.6,Tarde,Línea 3 · Cremas,False,,Aprobado,45540000,244
L-7084,2025-07-31,2025-07,ESP-BABY,Baby Spreads,Esparcibles,2083,2056,1.3,98.7,Mañana,Línea 3 · Cremas,True,7.4,Aprobado,15625600,306
L-7085,2025-07-31,2025-07,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,569,541,4.85,95.1,Tarde,Línea 3 · Cremas,True,1.6,Aprobado,6924800,324
L-7086,2025-07-31,2025-07,ESP-CRE,Creamy Cocoa Hazelnut,Esparcibles,1988,1933,2.76,97.2,Mañana,Línea 3 · Cremas,True,11.4,Aprobado,38466700,334
L-7087,2025-08-01,2025-08,COM-3MEZ,Three Pack Mezclas,Combos,2147,2055,4.25,95.7,Tarde,Línea 3 · Cremas,True,2.7,Aprobado,82611000,221
L-7088,2025-08-01,2025-08,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,1148,1085,5.43,94.5,Tarde,Línea 3 · Cremas,True,10.1,Aprobado,12803000,278
L-7089,2025-08-01,2025-08,GRA-VAN,Vanilla Shortbread,GranOLAS,506,476,5.8,94.1,Mañana,Línea 1 · Hornos,True,0.2,Aprobado,6711600,267
L-7090,2025-08-01,2025-08,HAR-AVE,Harina de Avena,Avena & Harinas,1971,1907,3.23,96.8,Tarde,Línea 2 · Molienda,True,0.0,Aprobado,22121200,207
L-7091,2025-08-01,2025-08,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,946,928,1.89,98.1,Mañana,Línea 2 · Molienda,True,3.7,Aprobado,10950400,260
L-7092,2025-08-04,2025-08,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,966,944,2.23,97.7,Tarde,Línea 2 · Molienda,True,1.0,Aprobado,18974400,205
L-7093,2025-08-04,2025-08,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,1920,1856,3.3,96.7,Tarde,Línea 1 · Hornos,True,20.6,Rechazado,23200000,240
L-7094,2025-08-04,2025-08,GRA-VAN,Vanilla Shortbread,GranOLAS,562,540,3.75,96.1,Mañana,Línea 1 · Hornos,True,9.5,Aprobado,7614000,332
