pdv_id,cadena,formato,ciudad,zona,fecha_apertura
PDV-0001,Éxito,Éxito Vecino,Bogotá,Suba,2025-10-11
PDV-0002,Éxito,Éxito Superior,Bogotá,Suba,2025-03-13
PDV-0003,Éxito,Éxito Superior,Cartagena,Bocagrande,2025-09-18
PDV-0004,Éxito,Éxito WOW,Pereira,Circunvalar,2026-04-16
PDV-0005,Éxito,Éxito Superior,Bogotá,Chapinero,2025-09-03
PDV-0006,Éxito,Éxito Vecino,Cali,Granada,2026-02-15
PDV-0007,Éxito,Éxito WOW,Barranquilla,Alto Prado,2025-11-18
PDV-0008,Éxito,Éxito Vecino,Medellín,Belén,2026-02-07
PDV-0009,Éxito,Éxito Superior,Manizales,Palermo,2025-03-06
PDV-0010,Éxito,Éxito WOW,Medellín,Belén,2025-08-21
PDV-0011,Éxito,Éxito Vecino,Bogotá,Chicó,2025-12-12
PDV-0012,Éxito,Éxito WOW,Barranquilla,Villa Country,2026-02-21
PDV-0013,Éxito,Éxito Vecino,Bogotá,Suba,2025-11-26
PDV-0014,Éxito,Éxito WOW,Bogotá,Cedritos,2026-03-07
PDV-0015,Éxito,Éxito WOW,Medellín,El Poblado,2026-02-16
PDV-0016,Éxito,Éxito Vecino,Bogotá,Chicó,2026-03-09
PDV-0017,Éxito,Éxito Superior,Bogotá,Chapinero,2025-03-25
PDV-0018,Éxito,Éxito WOW,Bogotá,Salitre,2025-08-14
PDV-0019,Éxito,Éxito Superior,Cartagena,Manga,2025-12-25
PDV-0020,Éxito,Éxito Superior,Bogotá,Usaquén,2025-03-18
PDV-0021,Éxito,Éxito WOW,Manizales,Palermo,2025-08-09
PDV-0022,Éxito,Éxito Vecino,Cali,Granada,2025-08-27
PDV-0023,Éxito,Éxito WOW,Bucaramanga,Cabecera,2025-10-10
PDV-0024,Éxito,Éxito Vecino,Bogotá,Usaquén,2025-05-29
PDV-0025,Éxito,Éxito WOW,Bogotá,Suba,2025-01-12
PDV-0026,Éxito,Éxito WOW,Bucaramanga,Cabecera,2025-07-25
PDV-0027,Éxito,Éxito WOW,Barranquilla,Villa Country,2025-04-04
PDV-0028,Éxito,Éxito WOW,Bogotá,Chicó,2026-02-21
PDV-0029,Éxito,Éxito Vecino,Bogotá,Suba,2026-01-22
PDV-0030,Éxito,Éxito Vecino,Bogotá,Chapinero,2025-12-01
PDV-0031,Éxito,Éxito WOW,Bogotá,Cedritos,2025-12-16
