mes,cadena,ciudad,sku,producto,categoria,pdv_activos,unidades_sell_in,unidades_sell_out,valor_sell_out_cop,rotacion_und_pdv_mes,dias_sin_stock,inventario_cadena_und
2025-01,Tiendas naturistas,Barranquilla,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,2,5,4,148000,2.0,2,1
2025-01,Tiendas naturistas,Barranquilla,COM-3GRA,Three Pack GranOLA,Combos,2,3,2,228400,1.0,2,1
2025-01,Tiendas naturistas,Barranquilla,COM-3SPR,Three Pack Spread,Combos,2,2,1,151950,0.5,5,1
2025-01,Tiendas naturistas,Barranquilla,COM-WAF,Mini Wafflera,Combos,2,2,1,118000,0.5,7,1
2025-01,Tiendas naturistas,Barranquilla,ESP-CIN,Golden Cinnamon Roll,Esparcibles,2,20,17,974950,8.5,2,3
2025-01,Tiendas naturistas,Barranquilla,ESP-CRE,Creamy Cocoa Hazelnut,Esparcibles,2,7,5,286750,2.5,6,2
2025-01,Tiendas naturistas,Barranquilla,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,2,2,1,57350,0.5,6,1
2025-01,Tiendas naturistas,Barranquilla,ESP-PB,Peanutty Banana Shake,Esparcibles,2,6,4,229400,2.0,0,2
2025-01,Tiendas naturistas,Barranquilla,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,2,1,0,0,0.0,0,1
2025-01,Tiendas naturistas,Barranquilla,GRA-CHI,Chip Cookie,GranOLAS,2,9,6,268800,3.0,3,3
2025-01,Tiendas naturistas,Barranquilla,GRA-FUD,Fudge Cake,GranOLAS,2,9,8,358400,4.0,0,1
2025-01,Tiendas naturistas,Barranquilla,GRA-VAN,Vanilla Shortbread,GranOLAS,2,1,0,0,0.0,0,1
2025-01,Tiendas naturistas,Barranquilla,HAR-ALM,Harina de Almendra,Avena & Harinas,2,3,2,81800,1.0,0,1
2025-01,Tiendas naturistas,Barranquilla,HAR-AVE,Harina de Avena,Avena & Harinas,2,5,4,148000,2.0,2,1
2025-01,Tiendas naturistas,Barranquilla,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,2,11,11,541200,5.5,0,0
2025-01,Tiendas naturistas,Barranquilla,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,2,6,5,246000,2.5,0,1
2025-01,Tiendas naturistas,Barranquilla,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,2,4,3,147600,1.5,2,1
2025-01,Tiendas naturistas,Barranquilla,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,2,8,6,232800,3.0,0,2
2025-01,Tiendas naturistas,Barranquilla,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,2,6,6,232800,3.0,2,0
2025-01,Tiendas naturistas,Barranquilla,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,2,7,6,232800,3.0,5,1
2025-01,Tiendas naturistas,Bogotá,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,31,58,57,2109000,1.84,5,1
2025-01,Tiendas naturistas,Bogotá,COM-3GRA,Three Pack GranOLA,Combos,31,21,17,1941400,0.55,2,4
2025-01,Tiendas naturistas,Bogotá,COM-3SPR,Three Pack Spread,Combos,31,14,13,1975350,0.42,4,1
2025-01,Tiendas naturistas,Bogotá,COM-WAF,Mini Wafflera,Combos,31,29,22,2596000,0.71,0,7
2025-01,Tiendas naturistas,Bogotá,ESP-CIN,Golden Cinnamon Roll,Esparcibles,31,46,37,2121950,1.19,0,9
2025-01,Tiendas naturistas,Bogotá,ESP-CRE,Creamy Cocoa Hazelnut,Esparcibles,31,57,46,2638100,1.48,6,11
2025-01,Tiendas naturistas,Bogotá,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,31,35,27,1548450,0.87,1,8
2025-01,Tiendas naturistas,Bogotá,ESP-PB,Peanutty Banana Shake,Esparcibles,31,68,61,3498350,1.97,0,7
2025-01,Tiendas naturistas,Bogotá,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,31,33,27,2023650,0.87,1,6
2025-01,Tiendas naturistas,Bogotá,GRA-CHI,Chip Cookie,GranOLAS,31,48,47,2105600,1.52,3,1
2025-01,Tiendas naturistas,Bogotá,GRA-FUD,Fudge Cake,GranOLAS,31,51,39,1747200,1.26,6,12
2025-01,Tiendas naturistas,Bogotá,GRA-VAN,Vanilla Shortbread,GranOLAS,31,31,29,1299200,0.94,3,2
2025-01,Tiendas naturistas,Bogotá,HAR-ALM,Harina de Almendra,Avena & Harinas,31,51,39,1595100,1.26,5,12
2025-01,Tiendas naturistas,Bogotá,HAR-AVE,Harina de Avena,Avena & Harinas,31,125,106,3922000,3.42,5,19
2025-01,Tiendas naturistas,Bogotá,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,31,64,54,2656800,1.74,3,10
2025-01,Tiendas naturistas,Bogotá,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,31,28,23,1131600,0.74,0,5
2025-01,Tiendas naturistas,Bogotá,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,31,84,79,3886800,2.55,0,5
2025-01,Tiendas naturistas,Bogotá,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,31,98,85,3298000,2.74,0,13
2025-01,Tiendas naturistas,Bogotá,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,31,16,12,465600,0.39,3,4
2025-01,Tiendas naturistas,Bogotá,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,31,64,55,2134000,1.77,2,9
2025-01,Tiendas naturistas,Bucaramanga,COM-WAF,Mini Wafflera,Combos,2,1,0,0,0.0,10,1
2025-01,Tiendas naturistas,Bucaramanga,ESP-CIN,Golden Cinnamon Roll,Esparcibles,2,3,2,114700,1.0,2,1
2025-01,Tiendas naturistas,Bucaramanga,ESP-CRE,Creamy Cocoa Hazelnut,Esparcibles,2,2,1,57350,0.5,0,1
2025-01,Tiendas naturistas,Bucaramanga,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,2,3,2,114700,1.0,0,1
2025-01,Tiendas naturistas,Bucaramanga,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,2,10,8,599600,4.0,2,2
2025-01,Tiendas naturistas,Bucaramanga,GRA-CHI,Chip Cookie,GranOLAS,2,19,16,716800,8.0,3,3
2025-01,Tiendas naturistas,Bucaramanga,GRA-FUD,Fudge Cake,GranOLAS,2,29,22,985600,11.0,4,7
2025-01,Tiendas naturistas,Bucaramanga,GRA-VAN,Vanilla Shortbread,GranOLAS,2,21,16,716800,8.0,1,5
2025-01,Tiendas naturistas,Bucaramanga,HAR-AVE,Harina de Avena,Avena & Harinas,2,1,0,0,0.0,8,1
2025-01,Tiendas naturistas,Bucaramanga,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,2,6,6,295200,3.0,0,0
2025-01,Tiendas naturistas,Bucaramanga,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,2,4,3,147600,1.5,2,1
2025-01,Tiendas naturistas,Bucaramanga,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,2,5,4,155200,2.0,2,1
2025-01,Tiendas naturistas,Bucaramanga,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,2,12,10,388000,5.0,4,2
2025-01,Tiendas naturistas,Bucaramanga,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,2,27,25,970000,12.5,1,2
2025-01,Tiendas naturistas,Cali,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,5,25,24,888000,4.8,3,1
2025-01,Tiendas naturistas,Cali,COM-3GRA,Three Pack GranOLA,Combos,5,15,13,1484600,2.6,3,2
2025-01,Tiendas naturistas,Cali,COM-3SPR,Three Pack Spread,Combos,5,23,18,2735100,3.6,0,5
2025-01,Tiendas naturistas,Cali,COM-WAF,Mini Wafflera,Combos,5,8,7,826000,1.4,1,1
2025-01,Tiendas naturistas,Cali,ESP-CIN,Golden Cinnamon Roll,Esparcibles,5,1,0,0,0.0,5,1
2025-01,Tiendas naturistas,Cali,ESP-CRE,Creamy Cocoa Hazelnut,Esparcibles,5,30,27,1548450,5.4,8,3
2025-01,Tiendas naturistas,Cali,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,5,5,4,229400,0.8,2,1
2025-01,Tiendas naturistas,Cali,ESP-PB,Peanutty Banana Shake,Esparcibles,5,4,3,172050,0.6,0,1
2025-01,Tiendas naturistas,Cali,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,5,3,2,149900,0.4,8,1
2025-01,Tiendas naturistas,Cali,GRA-CHI,Chip Cookie,GranOLAS,5,6,5,224000,1.0,2,1
2025-01,Tiendas naturistas,Cali,GRA-FUD,Fudge Cake,GranOLAS,5,9,7,313600,1.4,4,2
2025-01,Tiendas naturistas,Cali,HAR-ALM,Harina de Almendra,Avena & Harinas,5,15,13,531700,2.6,0,2
2025-01,Tiendas naturistas,Cali,HAR-AVE,Harina de Avena,Avena & Harinas,5,50,40,1480000,8.0,3,10
2025-01,Tiendas naturistas,Cali,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,5,23,23,1131600,4.6,4,0
2025-01,Tiendas naturistas,Cali,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,5,17,12,590400,2.4,0,5
2025-01,Tiendas naturistas,Cali,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,5,30,25,1230000,5.0,6,5
2025-01,Tiendas naturistas,Cali,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,5,3,3,116400,0.6,0,0
2025-01,Tiendas naturistas,Cali,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,5,9,6,232800,1.2,6,3
2025-01,Tiendas naturistas,Cartagena,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,4,18,18,666000,4.5,4,0
2025-01,Tiendas naturistas,Cartagena,COM-3GRA,Three Pack GranOLA,Combos,4,4,3,342600,0.75,0,1
2025-01,Tiendas naturistas,Cartagena,COM-WAF,Mini Wafflera,Combos,4,7,6,708000,1.5,8,1
2025-01,Tiendas naturistas,Cartagena,ESP-CIN,Golden Cinnamon Roll,Esparcibles,4,20,19,1089650,4.75,4,1
2025-01,Tiendas naturistas,Cartagena,ESP-CRE,Creamy Cocoa Hazelnut,Esparcibles,4,5,4,229400,1.0,0,1
2025-01,Tiendas naturistas,Cartagena,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,4,19,16,917600,4.0,3,3
2025-01,Tiendas naturistas,Cartagena,ESP-PB,Peanutty Banana Shake,Esparcibles,4,14,10,573500,2.5,6,4
2025-01,Tiendas naturistas,Cartagena,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,4,1,0,0,0.0,0,1
2025-01,Tiendas naturistas,Cartagena,GRA-CHI,Chip Cookie,GranOLAS,4,19,14,627200,3.5,3,5
2025-01,Tiendas naturistas,Cartagena,GRA-VAN,Vanilla Shortbread,GranOLAS,4,21,18,806400,4.5,7,3
2025-01,Tiendas naturistas,Cartagena,HAR-ALM,Harina de Almendra,Avena & Harinas,4,9,8,327200,2.0,0,1
